k,k_domain,q_line,q_speed,dataset
2.1,1.0956,1.2,1.2508667222850893,"colony 800, 10 mm bridge"
2.428,0.8343999999999999,1.5,1.0876594661221244,"colony 800, 10 mm bridge"
0.376,0.5372,0.8,0.8744254025086765,"colony 800, 10 mm bridge"
0.3,0.3544,0.5,0.542752081680031,"colony 800, 10 mm bridge"
0.34,0.758,0.7,0.8960082049768298,"colony 800, 10 mm bridge"
1.5,0.748,0.7,0.8558006114057177,"colony 800, 10 mm bridge"
0.804,0.6216,0.8,0.7108829217549065,"colony 800, 10 mm bridge"
0.5,0.5328,0.8,0.828182725812129,"colony 800, 10 mm bridge"
0.148,0.3372,0.3,0.5126671392813968,"colony 800, 10 mm bridge"
0.6532258064516129,0.4491935483870968,0.8064516129032259,0.7191967484868573,"colony 800, 10 mm bridge"
0.748,0.5992,1.0,0.890757523640034,"colony 800, 10 mm bridge"
0.492,0.604,0.9,0.829696874661296,"colony 800, 10 mm bridge"
0.24,0.3336,0.5,0.5525984915358242,"colony 800, 10 mm bridge"
0.424,0.4892,0.6,0.6044315865977865,"colony 800, 10 mm bridge"
0.296,0.6676,0.5,0.6900242345310736,"colony 800, 10 mm bridge"
0.76,0.962,0.9,0.9644230391950362,"colony 800, 10 mm bridge"
0.608,0.7424000000000001,0.9,0.8718647904369655,"colony 800, 10 mm bridge"
0.488,0.6092,0.9,0.8491202642999964,"colony 800, 10 mm bridge"
0.244,0.6456000000000001,0.5,0.8481311935316197,"colony 800, 10 mm bridge"
1.344,1.1252,1.5,1.4163450293750608,"colony 800, 10 mm bridge"
0.436,0.5876,0.7,0.6895740990379231,"colony 800, 10 mm bridge"
0.264,0.37120000000000003,0.4,0.41174584171665635,"colony 800, 10 mm bridge"
0.504,0.4664,0.8,0.750800740535591,"colony 800, 10 mm bridge"
0.548,0.5272,0.8,0.7723136550602224,"colony 800, 10 mm bridge"
0.404,0.5104,0.8,0.7714933459755577,"colony 800, 10 mm bridge"
0.296,0.52,0.6,0.7933686865846997,"colony 800, 10 mm bridge"
0.668,0.6804,1.1,0.9664195871391478,"colony 800, 10 mm bridge"
0.288,0.37120000000000003,0.6,0.5941858181435917,"colony 800, 10 mm bridge"
0.416,0.4164,0.7,0.5666636184687273,"colony 800, 10 mm bridge"
0.396,0.47800000000000004,0.7,0.687451546974837,"colony 800, 10 mm bridge"
0.2,0.27559999999999996,0.4,0.5267503685124778,"colony 800, 10 mm bridge"
0.46,0.5424,0.9,0.8183211717941893,"colony 800, 10 mm bridge"
0.296,0.2312,0.4,0.41533370579193923,"colony 800, 10 mm bridge"
1.3859649122807018,0.7324561403508772,1.0964912280701755,0.9867961746883129,"colony 800, 10 mm bridge"
0.272,0.4668,0.4,0.7451125183650444,"colony 800, 10 mm bridge"
0.2931726907630522,0.18514056224899597,0.4016064257028112,0.32108830993673765,"colony 800, 10 mm bridge"
0.44,0.44160000000000005,0.6,0.5626186320805233,"colony 800, 10 mm bridge"
0.452,0.6364,0.9,0.8302901387651276,"colony 800, 10 mm bridge"
0.412,0.5564,0.5,0.6364521056561415,"colony 800, 10 mm bridge"
0.8,0.8744,1.0,0.8175479398819422,"colony 800, 10 mm bridge"
0.304,0.944,0.6,0.7417928336312073,"colony 800, 10 mm bridge"
0.6,1.1792,0.9,0.9396689687644795,"colony 800, 10 mm bridge"
0.368,0.9128000000000001,0.6,0.6164436718146359,"colony 800, 10 mm bridge"
0.488,1.1156000000000001,0.8,0.8822629341255673,"colony 800, 10 mm bridge"
0.588,1.4108,1.0,1.0918811818771879,"colony 800, 10 mm bridge"
0.364,1.0484,0.7,0.7851709682476787,"colony 800, 10 mm bridge"
0.3,1.0628,0.7,0.8398895674493394,"colony 800, 10 mm bridge"
0.468,1.2352,0.8,0.8662448284229491,"colony 800, 10 mm bridge"
0.544,1.6156,0.8,0.9414521952483019,"colony 800, 10 mm bridge"
0.348,1.5708,0.7,0.9410183285513662,"colony 800, 10 mm bridge"
0.468,1.4556,0.7,0.6981757836774805,"colony 800, 10 mm bridge"
0.564,1.6987999999999999,1.0,0.999125633985351,"colony 800, 10 mm bridge"
0.404,1.4528,0.8,0.8935342230913861,"colony 800, 10 mm bridge"
0.744,1.5592000000000001,1.1,1.0357386513565041,"colony 800, 10 mm bridge"
0.416,1.3128,0.6,0.856543833219947,"colony 800, 10 mm bridge"
0.94,1.1972,0.5,0.5576621460850598,"colony 800, 10 mm bridge"
1.044,1.2856,0.9,0.6910379372564607,"colony 800, 10 mm bridge"
1.216,1.1444,0.5,0.5742731604094979,"colony 800, 10 mm bridge"
0.312,1.1312,0.5,0.657543033004618,"colony 800, 10 mm bridge"
0.416,1.1444,0.8,0.819641852959914,"colony 800, 10 mm bridge"
0.628,1.1952,0.9,0.815825152056369,"colony 800, 10 mm bridge"
0.164,0.8779999999999999,0.4,0.5064000724708029,"colony 800, 10 mm bridge"
0.348,0.9812,0.6,0.6173455994770284,"colony 800, 10 mm bridge"
0.16,0.93,0.3,0.5144039221431949,"colony 800, 10 mm bridge"
0.372,0.8972,0.7,0.6863573049250798,"colony 800, 10 mm bridge"
0.28,0.7363999999999999,0.6,0.6442631801178098,"colony 800, 10 mm bridge"
0.328,0.8624,0.7,0.7224281371195687,"colony 800, 10 mm bridge"
0.496,0.8939999999999999,0.9,0.7904888320634882,"colony 800, 10 mm bridge"
0.66,1.2916,0.8,1.0470652649741772,"colony 800, 10 mm bridge"
0.792,1.2348000000000001,1.2,1.1436844753058097,"colony 800, 10 mm bridge"
0.264,0.7428,0.4,0.6130724776297765,"colony 800, 10 mm bridge"
0.376,0.6292,0.7,0.6455811089512176,"colony 800, 10 mm bridge"
1.088,0.7336,1.1,0.7263558367782342,"colony 800, 10 mm bridge"
0.064,0.4404,0.1,0.32159182341806636,"colony 800, 10 mm bridge"
0.284,0.47000000000000003,0.4,0.3703640553029719,"colony 800, 10 mm bridge"
0.452,0.7352000000000001,0.6,0.6001227666173167,"colony 800, 10 mm bridge"
0.6,0.806,0.8,0.7445017531519176,"colony 800, 10 mm bridge"
0.212,0.7888,0.4,0.6093745370043009,"colony 800, 10 mm bridge"
0.536,0.8688,0.4,0.6771279646868562,"colony 800, 10 mm bridge"
0.816,0.9776,1.0,0.8167633062113205,"colony 800, 10 mm bridge"
0.228,0.6248,0.5,0.4799791073688036,"colony 800, 10 mm bridge"
0.32,0.6048,0.5,0.47535839650792155,"colony 800, 10 mm bridge"
0.416,0.6172,0.5,0.5400349135353776,"colony 800, 10 mm bridge"
0.224,0.4852,0.3,0.41248469162643026,"colony 800, 10 mm bridge"
0.592,0.6408,0.7,0.6721008719617251,"colony 800, 10 mm bridge"
0.352,0.758,0.7,0.7790445699651205,"colony 800, 10 mm bridge"
0.676,0.6408,0.5,0.5536118824189922,"colony 800, 10 mm bridge"
0.62,0.7912,0.8,0.8298341680372749,"colony 800, 10 mm bridge"
0.716,0.7368,0.8,0.7208755759508623,"colony 800, 10 mm bridge"
0.352,0.7532,0.5,0.6696960711391746,"colony 800, 10 mm bridge"
0.524,0.7847999999999999,0.5,0.651483344636955,"colony 800, 10 mm bridge"
0.376,0.6679999999999999,0.7,0.6105352734297758,"colony 800, 10 mm bridge"
0.284,0.4936,0.4,0.43965148447919367,"colony 800, 10 mm bridge"
0.212,0.5075999999999999,0.4,0.4760317345369105,"colony 800, 10 mm bridge"
0.612,1.0256,0.9,0.8278107665135847,"colony 800, 10 mm bridge"
0.464,0.9676,0.5,0.7827048062483313,"colony 800, 10 mm bridge"
1.236,1.224,1.2,1.0319751935590848,"colony 800, 10 mm bridge"
0.468,0.75,0.7,0.8517534096420266,"colony 800, 10 mm bridge"
0.34,0.508,0.7,0.7177979057666753,"colony 800, 10 mm bridge"
0.10619469026548672,0.11061946902654866,0.22123893805309736,0.21142868256073388,"colony 800, 10 mm bridge"
0.472,0.4584,0.7,0.6881095737931685,"colony 800, 10 mm bridge"
0.1589958158995816,0.15313807531380755,0.3138075313807531,0.2544120771799403,"colony 800, 10 mm bridge"
0.1318181818181818,0.14545454545454545,0.11363636363636363,0.17118345035492039,"colony 800, 10 mm bridge"
0.3333333333333333,0.35657894736842105,0.5482456140350878,0.5175964874090223,"colony 800, 10 mm bridge"
0.12173913043478261,0.17043478260869566,0.2173913043478261,0.2780224905361232,"colony 800, 10 mm bridge"
0.22,0.21200000000000002,0.4,0.3449336865359339,"colony 800, 10 mm bridge"
0.264,0.2544,0.5,0.45394900735899596,"colony 800, 10 mm bridge"
0.14112903225806453,0.17620967741935484,0.3024193548387097,0.34257887611095117,"colony 800, 10 mm bridge"
0.10747663551401869,0.11261682242990653,0.2336448598130841,0.22886650155316307,"colony 800, 10 mm bridge"
0.28780487804878047,0.3121951219512195,0.6097560975609757,0.6034276595205613,"colony 800, 10 mm bridge"
0.316,0.49160000000000004,0.7,0.6029470960014447,"colony 800, 10 mm bridge"
0.124,0.4176,0.2,0.3306001377565113,"colony 800, 10 mm bridge"
0.94,1.1144,0.9,1.0320030826345588,"colony 800, 10 mm bridge"
0.42,0.6256,0.6,0.5816727573616034,"colony 800, 10 mm bridge"
0.64,0.7123999999999999,0.6,0.5369675837967387,"colony 800, 10 mm bridge"
