n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact
95,0,10.0,19.617463617463617,10.583333333333334,19.35847935847936,10.476190476190476,19.0,10.486032485961914,5.776905059814453,5.518964466295745,0.008491082175292701,0.1806659505907626,0.21744360902255638,-0.036777658431793786,1.7651821862348178,12.990654205607477,214,0.1825192164641706,0.2,1.4207629857961999,0.16877939605741496,2.5
95,1,10.0,17.65072765072765,10.375,18.775467775467774,10.30952380952381,19.0,10.354792594909668,5.717161178588867,5.449890839426141,0.010373126162599847,0.1780880773361976,0.20799140708915145,-0.029903329752953844,1.7446110077689025,12.58411214953271,214,0.1847842448569995,0.2,1.4131427893438404,0.16921182438931226,2.5
95,2,10.0,17.775467775467774,10.166666666666666,18.82803682803683,10.220238095238093,19.0,10.233083724975586,5.64321756362915,5.385833539460835,0.013830834883466462,0.20859291084855,0.2184747583243824,-0.0098818474758324,1.7437356384724805,12.4037558685446,213,0.18824046184738957,0.2,1.661991062961117,0.1501687750148685,2.5
100,0,10.0,19.074844074844076,10.791666666666666,20.52212652212652,10.791666666666666,20.0,10.80053997039795,5.663476467132568,5.400269985198975,0.009397089397089397,0.21428571428571427,0.20440816326530614,0.009877551020408132,1.787941787941788,12.91324200913242,219,0.18180232558139536,0.2,1.7202195977695653,0.15135145264797226,2.5
100,1,10.0,19.45945945945946,10.625,20.144045144045148,10.654761904761903,20.0,10.591700553894043,5.549064636230469,5.2958502769470215,0.010644490644490644,0.20734693877551022,0.21289795918367346,-0.005551020408163243,1.7688149688149688,12.598130841121495,214,0.18444992947813824,0.2,1.877128717320721,0.13586589558359263,2.5
100,2,10.0,18.625779625779625,10.291666666666666,19.807246807246806,10.410714285714286,20.0,10.462063789367676,5.488853931427002,5.231031894683838,0.010249480249480249,0.18204081632653066,0.20293877551020414,-0.020897959183673487,1.7567567567567568,12.688995215311005,209,0.18823668639053256,0.2,1.8810773003876022,0.13522052949434069,2.5
105,0,10.0,20.775467775467774,11.0,21.51262251262251,10.863095238095237,21.0,10.875110626220703,5.431206226348877,5.178624107724144,0.009385209385209385,0.19844509232264337,0.20303206997084544,-0.0045869776482020674,1.7863577863577864,13.88479262672811,217,0.18603413877189096,0.2,1.9527093463881446,0.13699371783397707,2.5
105,1,10.0,22.255717255717254,10.75,21.41966141966142,10.773809523809522,21.0,10.70637321472168,5.3578643798828125,5.098272959391276,0.00896940896940897,0.16579203109815355,0.20489795918367346,-0.03910592808551991,1.7451737451737452,14.046296296296296,216,0.18973224415702294,0.2,2.1317636462511045,0.1370267147032833,2.5
105,2,10.0,18.993762993762992,10.625,21.134541134541134,10.601190476190476,21.0,10.576923370361328,5.2840423583984375,5.036630176362538,0.012493812493812494,0.19183673469387752,0.20948493683187558,-0.01764820213799806,1.7495297495297495,13.208333333333334,216,0.1930398370303305,0.2,1.8420441569041486,0.1410334602554167,2.5
110,0,10.0,20.92099792099792,11.125,21.82863082863083,11.011904761904763,22.0,10.978798866271973,5.237578392028809,4.990363121032715,0.013551313551313551,0.19220779220779222,0.2049721706864564,-0.012764378478664185,1.7754677754677755,13.444933920704846,227,0.1927187566531829,0.2,1.8014873077258593,0.14687496105708708,2.5
