n_agents,c_comm,seed,segregation_raw,segregation_null,segregation_excess,k_domain,q_domain,u_mean,contacts_per_ant_per_s,stopped_frac
60,2.0,0,0.363265306122449,0.2593197278911565,0.10394557823129252,6.0,6.228521347045898,10.603799819946289,0.7976437976437977,0.0008316008316008316
60,2.0,1,0.3408163265306122,0.26258503401360545,0.07823129251700678,6.0,6.091416835784912,10.388470649719238,0.9306999306999307,0.000589050589050589
60,2.0,2,0.38775510204081626,0.25891156462585035,0.1288435374149659,6.0,6.158365249633789,10.485243797302246,0.8593208593208593,0.006202356202356202
60,2.0,3,0.4,0.2621768707482994,0.13782312925170065,6.0,6.1903510093688965,10.546974182128906,0.8516978516978517,0.0015246015246015245
60,2.0,4,0.3673469387755102,0.26122448979591834,0.10612244897959189,6.0,5.9966139793396,10.226471900939941,0.9265419265419266,0.00997920997920998
60,2.0,5,0.38639455782312926,0.2677551020408163,0.11863945578231294,6.0,6.106915473937988,10.391432762145996,0.8142758142758143,0.005647955647955648
60,3.0,0,0.3673469387755101,0.26380952380952377,0.10353741496598634,6.0,6.058556079864502,10.331470489501953,0.9106029106029107,0.0009009009009009009
60,3.0,1,0.46802721088435373,0.27646258503401366,0.19156462585034006,6.0,6.263713836669922,10.660329818725586,0.7837837837837838,0.0026334026334026333
60,3.0,2,0.3333333333333333,0.26136054421768706,0.07197278911564625,6.0,6.078693866729736,10.368328094482422,0.9376299376299376,0.0010048510048510048
60,3.0,3,0.4952380952380953,0.27319727891156464,0.22204081632653067,6.0,6.2429728507995605,10.61661148071289,0.7532917532917532,0.0042966042966042966
60,3.0,4,0.42857142857142855,0.266530612244898,0.16204081632653056,6.0,6.236508369445801,10.619405746459961,0.8752598752598753,0.007865557865557865
60,3.0,5,0.32448979591836735,0.2692517006802721,0.05523809523809525,6.0,5.881270885467529,10.04159927368164,0.9708939708939709,0.001178101178101178
60,4.0,0,0.30272108843537415,0.2700680272108843,0.032653061224489854,6.0,5.775566577911377,9.862957000732422,1.0325710325710327,0.0037422037422037424
60,4.0,1,0.4537414965986395,0.2651700680272109,0.1885714285714286,6.0,6.1982221603393555,10.547548294067383,0.8503118503118503,0.002356202356202356
60,4.0,2,0.28095238095238095,0.26258503401360545,0.01836734693877551,6.0,5.949532985687256,10.156289100646973,0.9778239778239778,0.0017671517671517672
60,4.0,3,0.3687074829931973,0.2672108843537415,0.10149659863945576,6.0,5.949977874755859,10.144484519958496,0.9244629244629244,0.005405405405405406
60,4.0,4,0.41088435374149657,0.24952380952380948,0.16136054421768709,6.0,6.116138935089111,10.424882888793945,0.8655578655578655,0.011711711711711712
60,4.0,5,0.38163265306122446,0.2710204081632653,0.11061224489795918,6.0,5.7772674560546875,9.859082221984863,0.9556479556479557,0.00841995841995842
60,6.0,0,0.37891156462585035,0.2646258503401361,0.11428571428571427,6.0,5.992706775665283,10.242156982421875,0.9528759528759528,0.0014553014553014554
60,6.0,1,0.29523809523809524,0.2614965986394558,0.03374149659863945,6.0,5.779501914978027,9.866593360900879,1.0027720027720028,0.004954954954954955
60,6.0,2,0.39931972789115644,0.2648979591836734,0.134421768707483,6.0,5.940741062164307,10.118427276611328,0.9993069993069993,0.0032224532224532226
60,6.0,3,0.3442176870748299,0.2530612244897959,0.09115646258503401,6.0,5.9131550788879395,10.085467338562012,0.9376299376299376,0.005647955647955648
60,6.0,4,0.3462585034013606,0.2625850340136055,0.0836734693877551,6.0,6.100074291229248,10.401570320129395,0.9404019404019404,0.0036036036036036037
60,6.0,5,0.3292517006802721,0.26136054421768706,0.06789115646258503,6.0,5.791558742523193,9.88463306427002,0.9708939708939709,0.005647955647955648
60,8.0,0,0.363265306122449,0.260952380952381,0.10231292517006801,6.0,5.910857677459717,10.085899353027344,1.0152460152460152,0.000589050589050589
60,8.0,1,0.3122448979591837,0.2580952380952381,0.0541496598639456,6.0,5.820882797241211,9.943790435791016,1.0457380457380456,0.001178101178101178
60,8.0,2,0.27687074829931974,0.24693877551020407,0.029931972789115663,6.0,5.417674541473389,9.26759147644043,1.1434511434511434,0.004435204435204435
60,8.0,3,0.3136054421768707,0.2658503401360544,0.04775510204081629,6.0,5.9325690269470215,10.122039794921875,0.9501039501039501,0.002737352737352737
60,8.0,4,0.29863945578231293,0.2500680272108844,0.04857142857142854,6.0,5.908124923706055,10.081292152404785,1.027027027027027,0.006063756063756064
60,8.0,5,0.3585034013605442,0.2692517006802721,0.0892517006802721,6.0,6.0101704597473145,10.236529350280762,0.9002079002079002,0.001975051975051975
60,10.0,0,0.29523809523809524,0.2546938775510204,0.040544217687074835,6.0,5.609628200531006,9.59924030303955,1.135828135828136,0.0018364518364518364
60,10.0,1,0.2666666666666667,0.24326530612244898,0.023401360544217736,6.0,5.748729228973389,9.817699432373047,1.142065142065142,0.0015592515592515593
60,10.0,2,0.34149659863945575,0.26476190476190475,0.076734693877551,6.0,5.841352462768555,9.971170425415039,1.0665280665280665,0.0021136521136521135
60,10.0,3,0.2972789115646258,0.25945578231292515,0.03782312925170067,6.0,5.766475677490234,9.84979248046875,1.0942480942480943,0.0008662508662508662
60,10.0,4,0.34897959183673466,0.2503401360544218,0.09863945578231287,6.0,5.741433143615723,9.815393447875977,1.0824670824670826,0.002356202356202356
60,10.0,5,0.3292517006802721,0.2631292517006803,0.0661224489795918,6.0,5.666048526763916,9.686835289001465,1.09009009009009,0.002286902286902287
60,12.0,0,0.32040816326530613,0.24435374149659864,0.0760544217687075,6.0,5.6379075050354,9.638392448425293,1.1268191268191268,0.0016978516978516979
60,12.0,1,0.2523809523809524,0.2555102040816326,-0.0031292517006802356,6.0,5.598889350891113,9.58115005493164,1.1725571725571726,0.0023215523215523214
60,12.0,2,0.2965986394557823,0.24870748299319728,0.047891156462585016,6.0,5.654202461242676,9.664180755615234,1.1586971586971586,0.0016978516978516979
60,12.0,3,0.24421768707482994,0.2416326530612245,0.002585034013605436,6.0,5.185762882232666,8.884109497070312,1.1884961884961884,0.021968121968121968
60,12.0,4,0.32721088435374146,0.2628571428571429,0.06435374149659856,6.0,5.906307220458984,10.08042049407959,1.1801801801801801,0.0016978516978516979
60,12.0,5,0.3156462585034014,0.25360544217687075,0.062040816326530634,6.0,5.605554580688477,9.586406707763672,1.0706860706860706,0.003915453915453915
60,16.0,0,0.27278911564625846,0.2421768707482993,0.030612244897959162,6.0,5.309605598449707,9.090167045593262,1.200970200970201,0.001386001386001386
60,16.0,1,0.2986394557823129,0.25455782312925174,0.04408163265306114,6.0,5.605538368225098,9.573331832885742,1.065835065835066,0.0068953568953568955
60,16.0,2,0.25034013605442174,0.21523809523809523,0.03510204081632651,6.0,5.021212577819824,8.611823081970215,1.3097713097713097,0.003153153153153153
60,16.0,3,0.2680272108843538,0.2398639455782313,0.02816326530612248,6.0,5.3125505447387695,9.099132537841797,1.2619542619542619,0.0016632016632016633
60,16.0,4,0.3319727891156463,0.25510204081632654,0.07687074829931978,6.0,5.669910907745361,9.712169647216797,1.2702702702702702,0.0006237006237006237
60,16.0,5,0.27346938775510204,0.22884353741496596,0.04462585034013608,6.0,5.214895248413086,8.935745239257812,1.3007623007623008,0.0021483021483021483
60,20.0,0,0.24285714285714283,0.24721088435374147,-0.004353741496598645,6.0,5.292211532592773,9.083577156066895,1.3264033264033264,0.0006583506583506583
60,20.0,1,0.29183673469387755,0.2414965986394558,0.05034013605442175,6.0,5.290365695953369,9.07011890411377,1.2806652806652807,0.000796950796950797
60,20.0,2,0.2435374149659864,0.23387755102040816,0.009659863945578245,6.0,5.17186164855957,8.877494812011719,1.306999306999307,0.008731808731808732
60,20.0,3,0.22585034013605443,0.2394557823129252,-0.013605442176870763,6.0,5.315998077392578,9.114782333374023,1.3236313236313237,0.0008316008316008316
60,20.0,4,0.24965986394557826,0.23782312925170068,0.011836734693877582,6.0,5.355515956878662,9.193037033081055,1.3970893970893972,0.0007276507276507277
60,20.0,5,0.21768707482993196,0.24258503401360546,-0.02489795918367349,6.0,5.328184604644775,9.13696575164795,1.2467082467082466,0.001386001386001386
60,24.0,0,0.254421768707483,0.23183673469387753,0.02258503401360548,6.0,4.939466953277588,8.494688987731934,1.3146223146223146,0.009251559251559252
60,24.0,1,0.24965986394557826,0.24326530612244898,0.006394557823129282,6.0,5.223546981811523,8.98252010345459,1.392931392931393,0.0022176022176022174
60,24.0,2,0.25170068027210885,0.23333333333333336,0.01836734693877548,6.0,5.154138088226318,8.851985931396484,1.3049203049203049,0.0010395010395010396
60,24.0,3,0.26394557823129255,0.2103401360544218,0.05360544217687074,6.0,4.820913314819336,8.279540061950684,1.37006237006237,0.004192654192654193
60,24.0,4,0.2537414965986394,0.2274829931972789,0.026258503401360517,6.0,5.1494855880737305,8.847322463989258,1.3853083853083854,0.0012474012474012475
60,24.0,5,0.2571428571428571,0.23074829931972787,0.026394557823129244,6.0,5.031998157501221,8.658803939819336,1.3707553707553708,0.0009009009009009009
150,0.0,0,0.42557823129251704,0.16805442176870747,0.2575238095238096,15.0,10.460238456726074,7.188898086547852,1.2022176022176023,0.03361053361053361
150,0.0,1,0.42530612244897964,0.17251700680272108,0.25278911564625856,15.0,10.270230293273926,7.051126003265381,1.1492723492723493,0.046708246708246706
150,0.0,2,0.39074829931972793,0.17257142857142857,0.21817687074829936,15.0,9.597513198852539,6.610466957092285,1.2424116424116425,0.048676368676368674
150,0.0,3,0.33142857142857146,0.17268027210884357,0.1587482993197279,15.0,9.865802764892578,6.803158760070801,1.285100485100485,0.047165627165627166
150,0.0,4,0.34122448979591835,0.17077551020408158,0.17044897959183677,15.0,10.021261215209961,6.915290832519531,1.3402633402633402,0.040887040887040885
150,0.0,5,0.3951020408163266,0.1724625850340136,0.222639455782313,15.0,9.589554786682129,6.578888893127441,1.2274428274428275,0.0934996534996535
150,1.0,0,0.27319727891156464,0.17360544217687077,0.09959183673469388,15.0,9.771631240844727,6.75457239151001,1.4212058212058212,0.031656271656271655
150,1.0,1,0.4149659863945579,0.17469387755102042,0.24027210884353747,15.0,9.778664588928223,6.72432279586792,1.1936243936243935,0.05568953568953569
150,1.0,2,0.4642176870748299,0.1738231292517007,0.2903945578231292,15.0,10.256038665771484,7.039438247680664,1.1215523215523215,0.04845460845460845
150,1.0,3,0.3980952380952381,0.17050340136054426,0.22759183673469385,15.0,9.968032836914062,6.84124231338501,1.2063756063756064,0.05013167013167013
150,1.0,4,0.40897959183673466,0.17376870748299322,0.23521088435374143,15.0,9.737578392028809,6.687235355377197,1.2,0.06602910602910603
150,1.0,5,0.2642176870748299,0.17540136054421768,0.08881632653061222,15.0,9.928796768188477,6.863119602203369,1.4234234234234233,0.029604989604989605
150,2.0,0,0.24108843537414965,0.17050340136054418,0.07058503401360547,15.0,9.896114349365234,6.850352764129639,1.458905058905059,0.02674982674982675
150,2.0,1,0.3349659863945578,0.17409523809523808,0.16087074829931974,15.0,9.358086585998535,6.46289587020874,1.3291753291753292,0.046943866943866944
150,2.0,2,0.4470748299319728,0.16663945578231293,0.28043537414965986,15.0,9.92369270324707,6.810085773468018,1.17006237006237,0.06051282051282051
150,2.0,3,0.19619047619047622,0.16848979591836738,0.02770068027210884,15.0,9.57760238647461,6.630656719207764,1.5049203049203048,0.04047124047124047
150,2.0,4,0.17768707482993198,0.16076190476190477,0.016925170068027212,15.0,9.344521522521973,6.489553928375244,1.5728343728343728,0.0502009702009702
150,2.0,5,0.38149659863945584,0.17404081632653062,0.20745578231292522,15.0,9.889409065246582,6.812838077545166,1.285100485100485,0.03832293832293832
150,3.0,0,0.23537414965986392,0.16723809523809524,0.06813605442176868,15.0,9.460290908813477,6.550139904022217,1.5226611226611226,0.0442966042966043
150,3.0,1,0.15591836734693879,0.174421768707483,-0.018503401360544208,15.0,9.52506160736084,6.602673053741455,1.5104643104643105,0.030131670131670132
150,3.0,2,0.32108843537414966,0.174421768707483,0.14666666666666667,15.0,9.307973861694336,6.424230098724365,1.3663201663201663,0.058794178794178795
150,3.0,3,0.37823129251700677,0.17404081632653062,0.20419047619047614,15.0,9.684037208557129,6.6626973152160645,1.288981288981289,0.05395703395703396
150,3.0,4,0.21414965986394563,0.1734965986394558,0.040653061224489834,15.0,9.613540649414062,6.664117336273193,1.545945945945946,0.03519057519057519
150,3.0,5,0.36925170068027213,0.18040816326530612,0.188843537414966,15.0,9.775627136230469,6.737368583679199,1.306999306999307,0.03789327789327789
150,4.0,0,0.3020408163265306,0.1701224489795918,0.13191836734693882,15.0,9.695788383483887,6.697841167449951,1.4625086625086625,0.038683298683298686
150,4.0,1,0.3708843537414966,0.16903401360544218,0.2018503401360544,15.0,9.991827011108398,6.875958442687988,1.3045045045045045,0.05208593208593209
150,4.0,2,0.39482993197278915,0.17197278911564629,0.22285714285714286,15.0,9.724075317382812,6.688497066497803,1.2864864864864864,0.05726957726957727
150,4.0,3,0.15346938775510202,0.1659863945578231,-0.012517006802721081,15.0,9.447784423828125,6.5596022605896,1.6205128205128205,0.019015939015939017
150,4.0,4,0.4106122448979591,0.16848979591836735,0.24212244897959176,15.0,10.10644817352295,6.948946952819824,1.277893277893278,0.043686763686763684
150,4.0,5,0.236734693877551,0.17317006802721086,0.06356462585034015,15.0,9.492972373962402,6.575387477874756,1.4885654885654886,0.03186417186417186
150,6.0,0,0.16299319727891157,0.16919727891156464,-0.006204081632653069,15.0,9.672866821289062,6.710464954376221,1.6432432432432433,0.012986832986832987
150,6.0,1,0.2634013605442177,0.16854421768707487,0.09485714285714283,15.0,9.304767608642578,6.425410747528076,1.425918225918226,0.05280665280665281
150,6.0,2,0.3028571428571428,0.16413605442176873,0.1387210884353741,15.0,9.586273193359375,6.630401611328125,1.4455994455994456,0.030117810117810118
150,6.0,3,0.17142857142857143,0.16908843537414964,0.002340136054421793,15.0,9.71925163269043,6.743154048919678,1.6138600138600139,0.011628551628551628
150,6.0,4,0.16734693877551018,0.17447619047619048,-0.007129251700680295,15.0,9.716391563415527,6.736428260803223,1.621067221067221,0.021053361053361055
150,6.0,5,0.22204081632653064,0.16876190476190475,0.053278911564625886,15.0,9.611039161682129,6.662560939788818,1.5841995841995842,0.019625779625779625
150,8.0,0,0.15646258503401358,0.16680272108843536,-0.010340136054421772,15.0,9.407658576965332,6.532588481903076,1.6715176715176716,0.030866250866250868
150,8.0,1,0.16843537414965987,0.1693061224489796,-0.0008707482993197402,15.0,9.487346649169922,6.590325355529785,1.651004851004851,0.016534996534996536
150,8.0,2,0.16136054421768706,0.17197278911564626,-0.0106122448979592,15.0,9.420716285705566,6.54944372177124,1.624116424116424,0.020859320859320858
150,8.0,3,0.16979591836734695,0.1693061224489796,0.0004897959183673417,15.0,9.437997817993164,6.556789398193359,1.6532224532224533,0.016396396396396395
150,8.0,4,0.18829931972789116,0.164843537414966,0.023455782312925166,15.0,9.497468948364258,6.596401691436768,1.621067221067221,0.0213998613998614
150,8.0,5,0.21714285714285717,0.1700136054421769,0.047129251700680275,15.0,9.614737510681152,6.672824859619141,1.6232848232848234,0.01270963270963271
150,10.0,0,0.18068027210884355,0.1675646258503401,0.01311564625850345,15.0,9.405211448669434,6.53212833404541,1.6612612612612612,0.019404019404019403
150,10.0,1,0.19346938775510206,0.16582312925170067,0.027646258503401383,15.0,9.578551292419434,6.650112152099609,1.6573804573804574,0.008537768537768537
150,10.0,2,0.1657142857142857,0.17344217687074828,-0.00772789115646258,15.0,9.244034767150879,6.426486492156982,1.64989604989605,0.01916839916839917
150,10.0,3,0.16544217687074828,0.1702857142857143,-0.004843537414966015,15.0,9.365701675415039,6.511362075805664,1.6651420651420652,0.018655578655578656
150,10.0,4,0.1708843537414966,0.16914285714285712,0.0017414965986394804,15.0,9.510917663574219,6.613914489746094,1.6712404712404711,0.016576576576576577
150,10.0,5,0.2070748299319728,0.17393197278911562,0.03314285714285717,15.0,9.19640064239502,6.3856201171875,1.6171864171864172,0.032695772695772694
150,12.0,0,0.20816326530612247,0.1715374149659864,0.036625850340136074,15.0,9.50126838684082,6.601335525512695,1.6487872487872488,0.019431739431739432
150,12.0,1,0.171156462585034,0.17202721088435374,-0.0008707482993197402,15.0,9.403125762939453,6.534889221191406,1.7216909216909217,0.008662508662508662
